Linux 5.4.0-73-generic (kesServer) 	2021년 05월 28일 	_x86_64_	(10 CPU)

23시 06분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 06분 47초  all   14.37    0.00   31.04    0.00    0.00    0.30    0.00    0.00    0.00   54.29
23시 06분 47초    0   12.37    0.00   29.90    0.00    0.00    0.00    0.00    0.00    0.00   57.73
23시 06분 47초    1   16.00    0.00   30.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
23시 06분 47초    2   11.65    0.00   33.01    0.00    0.00    0.97    0.00    0.00    0.00   54.37
23시 06분 47초    3   12.12    0.00   32.32    0.00    0.00    0.00    0.00    0.00    0.00   55.56
23시 06분 47초    4   15.00    0.00   31.00    0.00    0.00    1.00    0.00    0.00    0.00   53.00
23시 06분 47초    5   19.00    0.00   36.00    0.00    0.00    0.00    0.00    0.00    0.00   45.00
23시 06분 47초    6   14.14    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   55.56
23시 06분 47초    7   15.00    0.00   29.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
23시 06분 47초    8   12.24    0.00   30.61    0.00    0.00    0.00    0.00    0.00    0.00   57.14
23시 06분 47초    9   14.85    0.00   28.71    0.00    0.00    0.99    0.00    0.00    0.00   55.45

23시 06분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 06분 48초  all   12.46    0.00   29.48    0.00    0.00    0.20    0.00    0.00    0.00   57.86
23시 06분 48초    0    9.71    0.00   32.04    0.00    0.00    0.97    0.00    0.00    0.00   57.28
23시 06분 48초    1   11.65    0.00   31.07    0.00    0.00    0.00    0.00    0.00    0.00   57.28
23시 06분 48초    2   12.12    0.00   28.28    0.00    0.00    0.00    0.00    0.00    0.00   59.60
23시 06분 48초    3   11.76    0.00   30.39    0.00    0.00    0.00    0.00    0.00    0.00   57.84
23시 06분 48초    4   12.62    0.00   30.10    0.00    0.00    0.00    0.00    0.00    0.00   57.28
23시 06분 48초    5   14.00    0.00   30.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
23시 06분 48초    6   15.84    0.00   26.73    0.00    0.00    0.00    0.00    0.00    0.00   57.43
23시 06분 48초    7   14.85    0.00   25.74    0.00    0.00    0.99    0.00    0.00    0.00   58.42
23시 06분 48초    8   13.59    0.00   29.13    0.00    0.00    0.00    0.00    0.00    0.00   57.28
23시 06분 48초    9   10.89    0.00   28.71    0.00    0.00    0.99    0.00    0.00    0.00   59.41

23시 06분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 06분 49초  all    9.20    0.00   19.02    0.00    0.00   21.53    0.00    0.00    0.00   50.26
23시 06분 49초    0    6.59    0.00   17.58    0.00    0.00   21.98    0.00    0.00    0.00   53.85
23시 06분 49초    1    9.38    0.00   20.83    0.00    0.00   18.75    0.00    0.00    0.00   51.04
23시 06분 49초    2    4.95    0.00   15.84    0.00    0.00   41.58    0.00    0.00    0.00   37.62
23시 06분 49초    3    9.38    0.00   23.96    0.00    0.00   15.62    0.00    0.00    0.00   51.04
23시 06분 49초    4    9.47    0.00   18.95    0.00    0.00   17.89    0.00    0.00    0.00   53.68
23시 06분 49초    5   13.40    0.00   17.53    0.00    0.00   19.59    0.00    0.00    0.00   49.48
23시 06분 49초    6   10.31    0.00   15.46    0.00    0.00   22.68    0.00    0.00    0.00   51.55
23시 06분 49초    7    5.43    0.00   22.83    0.00    0.00   17.39    0.00    0.00    0.00   54.35
23시 06분 49초    8   10.31    0.00   23.71    0.00    0.00   16.49    0.00    0.00    0.00   49.48
23시 06분 49초    9    9.78    0.00   17.39    0.00    0.00   20.65    0.00    0.00    0.00   52.17

23시 06분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 06분 50초  all    7.85    0.00   15.71    0.10    0.00   31.41    0.00    0.00    0.00   44.93
23시 06분 50초    0    6.86    0.00   15.69    0.00    0.00   32.35    0.00    0.00    0.00   45.10
23시 06분 50초    1    9.90    0.00   17.82    0.00    0.00   27.72    0.00    0.00    0.00   44.55
23시 06분 50초    2   10.64    0.00   14.89    1.06    0.00   38.30    0.00    0.00    0.00   35.11
23시 06분 50초    3    8.82    0.00   12.75    0.00    0.00   32.35    0.00    0.00    0.00   46.08
23시 06분 50초    4    7.62    0.00   19.05    0.00    0.00   27.62    0.00    0.00    0.00   45.71
