Linux 5.4.0-73-generic (server3) 	2021년 05월 28일 	_x86_64_	(10 CPU)

23시 06분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 06분 47초  all    4.70    0.00    3.50    0.00    0.00    0.20    0.00    0.00    0.00   91.59
23시 06분 47초    0    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
23시 06분 47초    1    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
23시 06분 47초    2    9.18    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   76.53
23시 06분 47초    3    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
23시 06분 47초    4    4.95    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   93.07
23시 06분 47초    5    6.93    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   89.11
23시 06분 47초    6    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
23시 06분 47초    7    2.04    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   94.90
23시 06분 47초    8    7.14    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   91.84
23시 06분 47초    9    3.96    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   94.06

23시 06분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23시 06분 48초  all    1.11    0.00    1.51    0.00    0.00    0.91    0.00    0.00    0.00   96.48
23시 06분 48초    0    0.98    0.00    0.98    0.00    0.00    1.96    0.00    0.00    0.00   96.08
23시 06분 48초    1    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
23시 06분 48초    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
23시 06분 48초    3    2.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   94.00
23시 06분 48초    4    1.01    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   96.97
23시 06분 48초    5    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
23시 06분 48초    6    2.02    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   93.94
23시 06분 48초    7    1.98    0.00    1.98    0.00    0.00    1.98    0.00    0.00    0.00   94.06
23시 06분 48초    8    0.00    0.00    1.03    0.00    0.00    2.06    0.00    0.00    0.00   96.91
