Linux 5.4.0-48-generic (server3) 	2021년 01월 20일 	_x86_64_	(10 CPU)

13시 41분 12초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13시 41분 13초  all    6.62    0.00   10.63    0.00    0.00   11.94    0.00    0.00    0.00   70.81
13시 41분 13초    0    7.69    0.00   11.54    0.00    0.00   10.58    0.00    0.00    0.00   70.19
13시 41분 13초    1   11.76    0.00   18.63    0.00    0.00   13.73    0.00    0.00    0.00   55.88
13시 41분 13초    2    7.14    0.00    8.16    0.00    0.00    4.08    0.00    0.00    0.00   80.61
13시 41분 13초    3    6.86    0.00   14.71    0.00    0.00    3.92    0.00    0.00    0.00   74.51
13시 41분 13초    4    4.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
13시 41분 13초    5    4.08    0.00    1.02    0.00    0.00    2.04    0.00    0.00    0.00   92.86
13시 41분 13초    6    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
13시 41분 13초    7    1.03    0.00    3.09    0.00    0.00   59.79    0.00    0.00    0.00   36.08
13시 41분 13초    8   10.10    0.00   25.25    0.00    0.00   13.13    0.00    0.00    0.00   51.52
13시 41분 13초    9   11.11    0.00   22.22    0.00    0.00   12.12    0.00    0.00    0.00   54.55

13시 41분 13초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13시 41분 14초  all    5.50    0.00   10.30    0.00    0.00   12.70    0.00    0.00    0.00   71.50
13시 41분 14초    0    0.95    0.00    0.95    0.00    0.00    5.71    0.00    0.00    0.00   92.38
13시 41분 14초    1    6.06    0.00   11.11    0.00    0.00   12.12    0.00    0.00    0.00   70.71
13시 41분 14초    2    0.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   97.00
13시 41분 14초    3    1.01    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   96.97
13시 41분 14초    4   14.29    0.00   25.51    0.00    0.00   10.20    0.00    0.00    0.00   50.00
13시 41분 14초    5    7.00    0.00   10.00    0.00    0.00    8.00    0.00    0.00    0.00   75.00
13시 41분 14초    6    7.00    0.00   16.00    0.00    0.00    9.00    0.00    0.00    0.00   68.00
13시 41분 14초    7    4.21    0.00    9.47    0.00    0.00   66.32    0.00    0.00    0.00   20.00
13시 41분 14초    8    5.94    0.00   19.80    0.00    0.00    6.93    0.00    0.00    0.00   67.33
13시 41분 14초    9    7.92    0.00    8.91    0.00    0.00    8.91    0.00    0.00    0.00   74.26

13시 41분 14초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13시 41분 15초  all    5.03    0.00   10.15    0.00    0.00   12.31    0.00    0.00    0.00   72.51
13시 41분 15초    0    4.04    0.00    9.09    0.00    0.00    7.07    0.00    0.00    0.00   79.80
13시 41분 15초    1    5.15    0.00   13.40    0.00    0.00    8.25    0.00    0.00    0.00   73.20
13시 41분 15초    2    7.29    0.00    8.33    0.00    0.00    6.25    0.00    0.00    0.00   78.12
13시 41분 15초    3    8.16    0.00   11.22    0.00    0.00    5.10    0.00    0.00    0.00   75.51
13시 41분 15초    4    1.98    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   94.06
13시 41분 15초    5    4.21    0.00   11.58    0.00    0.00    7.37    0.00    0.00    0.00   76.84
13시 41분 15초    6    3.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
13시 41분 15초    7    3.12    0.00    4.17    0.00    0.00   61.46    0.00    0.00    0.00   31.25
13시 41분 15초    8    8.25    0.00   23.71    0.00    0.00   15.46    0.00    0.00    0.00   52.58
13시 41분 15초    9    6.12    0.00   12.24    0.00    0.00   11.22    0.00    0.00    0.00   70.41

13시 41분 15초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13시 41분 16초  all    4.75    0.00   10.21    0.00    0.00   12.94    0.00    0.00    0.00   72.09
13시 41분 16초    0    4.90    0.00    6.86    0.00    0.00    5.88    0.00    0.00    0.00   82.35
13시 41분 16초    1    1.00    0.00    2.00    0.00    0.00    4.00    0.00    0.00    0.00   93.00
13시 41분 16초    2    1.98    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   95.05
13시 41분 16초    3    9.18    0.00   20.41    0.00    0.00   11.22    0.00    0.00    0.00   59.18
13시 41분 16초    4    6.25    0.00   18.75    0.00    0.00   12.50    0.00    0.00    0.00   62.50
13시 41분 16초    5    1.01    0.00    3.03    0.00    0.00    5.05    0.00    0.00    0.00   90.91
13시 41분 16초    6    8.16    0.00   15.31    0.00    0.00    8.16    0.00    0.00    0.00   68.37
13시 41분 16초    7    2.13    0.00   13.83    0.00    0.00   70.21    0.00    0.00    0.00   13.83
13시 41분 16초    8    9.38    0.00   15.62    0.00    0.00    6.25    0.00    0.00    0.00   68.75
13시 41분 16초    9    2.02    0.00    5.05    0.00    0.00    8.08    0.00    0.00    0.00   84.85

13시 41분 16초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13시 41분 17초  all    5.32    0.00   10.02    0.00    0.00   12.37    0.00    0.00    0.00   72.29
