Linux 5.4.0-58-generic (kesServer) 	2021년 02월 09일 	_x86_64_	(20 CPU)

09시 04분 41초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 04분 42초  all   24.00    0.00   44.54    0.00    0.00   18.59    0.00    0.00    0.00   12.87
09시 04분 42초    0   24.24    0.00   41.41    0.00    0.00   14.14    0.00    0.00    0.00   20.20
09시 04분 42초    1   23.23    0.00   48.48    0.00    0.00   16.16    0.00    0.00    0.00   12.12
09시 04분 42초    2   22.22    0.00   53.54    0.00    0.00   23.23    0.00    0.00    0.00    1.01
09시 04분 42초    3   18.75    0.00   43.75    0.00    0.00   16.67    0.00    0.00    0.00   20.83
09시 04분 42초    4   26.00    0.00   41.00    0.00    0.00   24.00    0.00    0.00    0.00    9.00
09시 04분 42초    5   23.71    0.00   40.21    0.00    0.00   16.49    0.00    0.00    0.00   19.59
09시 04분 42초    6   25.25    0.00   43.43    0.00    0.00   17.17    0.00    0.00    0.00   14.14
09시 04분 42초    7   26.00    0.00   39.00    0.00    0.00   17.00    0.00    0.00    0.00   18.00
09시 04분 42초    8   24.24    0.00   52.53    0.00    0.00   21.21    0.00    0.00    0.00    2.02
09시 04분 42초    9   26.04    0.00   40.62    0.00    0.00   18.75    0.00    0.00    0.00   14.58
09시 04분 42초   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
09시 04분 42초   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

09시 04분 42초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09시 04분 43초  all   19.11    0.00   40.65    0.00    0.00   26.49    0.00    0.00    0.00   13.75
09시 04분 43초    0   18.75    0.00   36.46    0.00    0.00   21.88    0.00    0.00    0.00   22.92
09시 04분 43초    1   17.17    0.00   36.36    0.00    0.00   32.32    0.00    0.00    0.00   14.14
09시 04분 43초    2   18.81    0.00   40.59    0.00    0.00   26.73    0.00    0.00    0.00   13.86
09시 04분 43초    3   18.63    0.00   44.12    0.00    0.00   23.53    0.00    0.00    0.00   13.73
