Linux 5.4.0-73-generic (kesServer) 	2021년 05월 28일 	_x86_64_	(10 CPU)

22시 48분 51초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 52초  all   13.80    0.00   27.01    0.00    0.00   19.86    0.00    0.00    0.00   39.32
22시 48분 52초    0   13.00    0.00   31.00    0.00    0.00   16.00    0.00    0.00    0.00   40.00
22시 48분 52초    1   15.24    0.00   23.81    0.00    0.00   22.86    0.00    0.00    0.00   38.10
22시 48분 52초    2   13.13    0.00   30.30    0.00    0.00   20.20    0.00    0.00    0.00   36.36
22시 48분 52초    3   15.38    0.00   23.08    0.00    0.00   21.15    0.00    0.00    0.00   40.38
22시 48분 52초    4   13.00    0.00   29.00    0.00    0.00   16.00    0.00    0.00    0.00   42.00
22시 48분 52초    5   15.00    0.00   26.00    0.00    0.00   18.00    0.00    0.00    0.00   41.00
22시 48분 52초    6   17.48    0.00   22.33    0.00    0.00   20.39    0.00    0.00    0.00   39.81
22시 48분 52초    7   12.50    0.00   27.08    0.00    0.00   18.75    0.00    0.00    0.00   41.67
22시 48분 52초    8   11.22    0.00   26.53    0.00    0.00   21.43    0.00    0.00    0.00   40.82
22시 48분 52초    9   10.68    0.00   32.04    0.00    0.00   21.36    0.00    0.00    0.00   35.92

22시 48분 52초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 53초  all   12.05    0.00   27.53    0.00    0.00   24.56    0.00    0.00    0.00   35.87
22시 48분 53초    0   10.28    0.00   28.97    0.00    0.00   25.23    0.00    0.00    0.00   35.51
22시 48분 53초    1   14.29    0.00   26.67    0.00    0.00   22.86    0.00    0.00    0.00   36.19
22시 48분 53초    2   12.61    0.00   27.93    0.00    0.00   25.23    0.00    0.00    0.00   34.23
22시 48분 53초    3   11.01    0.00   26.61    0.00    0.00   26.61    0.00    0.00    0.00   35.78
22시 48분 53초    4   15.09    0.00   24.53    0.00    0.00   23.58    0.00    0.00    0.00   36.79
22시 48분 53초    5   10.38    0.00   26.42    0.00    0.00   26.42    0.00    0.00    0.00   36.79
22시 48분 53초    6   14.68    0.00   25.69    0.00    0.00   23.85    0.00    0.00    0.00   35.78
22시 48분 53초    7   11.32    0.00   30.19    0.00    0.00   22.64    0.00    0.00    0.00   35.85
22시 48분 53초    8   11.93    0.00   31.19    0.00    0.00   21.10    0.00    0.00    0.00   35.78
22시 48분 53초    9   10.91    0.00   27.27    0.00    0.00   27.27    0.00    0.00    0.00   34.55

22시 48분 53초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 54초  all   12.43    0.00   24.38    0.00    0.00   21.51    0.00    0.00    0.00   41.68
22시 48분 54초    0   13.59    0.00   24.27    0.00    0.00   20.39    0.00    0.00    0.00   41.75
22시 48분 54초    1   12.84    0.00   23.85    0.00    0.00   22.02    0.00    0.00    0.00   41.28
22시 48분 54초    2   12.84    0.00   26.61    0.00    0.00   21.10    0.00    0.00    0.00   39.45
22시 48분 54초    3   11.43    0.00   23.81    0.00    0.00   21.90    0.00    0.00    0.00   42.86
22시 48분 54초    4   12.62    0.00   21.36    0.00    0.00   22.33    0.00    0.00    0.00   43.69
22시 48분 54초    5   11.43    0.00   24.76    0.00    0.00   21.90    0.00    0.00    0.00   41.90
22시 48분 54초    6    9.00    0.00   25.00    0.00    0.00   23.00    0.00    0.00    0.00   43.00
22시 48분 54초    7   13.00    0.00   26.00    0.00    0.00   18.00    0.00    0.00    0.00   43.00
22시 48분 54초    8   16.51    0.00   22.02    0.00    0.00   22.94    0.00    0.00    0.00   38.53
22시 48분 54초    9   10.89    0.00   25.74    0.00    0.00   21.78    0.00    0.00    0.00   41.58

22시 48분 54초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 55초  all   10.55    0.00   26.95    0.00    0.00   24.12    0.00    0.00    0.00   38.38
22시 48분 55초    0   11.65    0.00   24.27    0.00    0.00   26.21    0.00    0.00    0.00   37.86
22시 48분 55초    1   10.00    0.00   27.00    0.00    0.00   24.00    0.00    0.00    0.00   39.00
22시 48분 55초    2    9.62    0.00   27.88    0.00    0.00   25.00    0.00    0.00    0.00   37.50
22시 48분 55초    3   10.89    0.00   31.68    0.00    0.00   17.82    0.00    0.00    0.00   39.60
22시 48분 55초    4    8.91    0.00   27.72    0.00    0.00   22.77    0.00    0.00    0.00   40.59
22시 48분 55초    5   11.11    0.00   25.93    0.00    0.00   25.93    0.00    0.00    0.00   37.04
22시 48분 55초    6   12.38    0.00   24.76    0.00    0.00   24.76    0.00    0.00    0.00   38.10
22시 48분 55초    7   12.87    0.00   27.72    0.00    0.00   20.79    0.00    0.00    0.00   38.61
22시 48분 55초    8    8.82    0.00   21.57    0.00    0.00   31.37    0.00    0.00    0.00   38.24
22시 48분 55초    9    8.00    0.00   30.00    0.00    0.00   23.00    0.00    0.00    0.00   39.00

22시 48분 55초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 56초  all    9.62    0.00   23.75    0.00    0.00   24.87    0.00    0.00    0.00   41.76
22시 48분 56초    0    8.74    0.00   24.27    0.00    0.00   27.18    0.00    0.00    0.00   39.81
22시 48분 56초    1    9.09    0.00   25.25    0.00    0.00   23.23    0.00    0.00    0.00   42.42
22시 48분 56초    2    9.09    0.00   20.20    0.00    0.00   29.29    0.00    0.00    0.00   41.41
22시 48분 56초    3   11.76    0.00   21.57    0.00    0.00   26.47    0.00    0.00    0.00   40.20
22시 48분 56초    4   12.12    0.00   21.21    0.00    0.00   25.25    0.00    0.00    0.00   41.41
22시 48분 56초    5    9.57    0.00   26.60    0.00    0.00   20.21    0.00    0.00    0.00   43.62
22시 48분 56초    6    6.32    0.00   27.37    0.00    0.00   23.16    0.00    0.00    0.00   43.16
22시 48분 56초    7    9.57    0.00   25.53    0.00    0.00   22.34    0.00    0.00    0.00   42.55
22시 48분 56초    8    9.28    0.00   21.65    0.00    0.00   27.84    0.00    0.00    0.00   41.24
22시 48분 56초    9    9.28    0.00   24.74    0.00    0.00   24.74    0.00    0.00    0.00   41.24

22시 48분 56초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 57초  all   11.82    0.00   23.94    0.00    0.00   27.19    0.00    0.00    0.00   37.04
22시 48분 57초    0   17.48    0.00   20.39    0.00    0.00   26.21    0.00    0.00    0.00   35.92
22시 48분 57초    1   10.89    0.00   21.78    0.00    0.00   30.69    0.00    0.00    0.00   36.63
22시 48분 57초    2    9.09    0.00   29.29    0.00    0.00   24.24    0.00    0.00    0.00   37.37
22시 48분 57초    3    8.00    0.00   26.00    0.00    0.00   28.00    0.00    0.00    0.00   38.00
22시 48분 57초    4   11.43    0.00   22.86    0.00    0.00   29.52    0.00    0.00    0.00   36.19
22시 48분 57초    5   14.85    0.00   20.79    0.00    0.00   26.73    0.00    0.00    0.00   37.62
22시 48분 57초    6   11.00    0.00   26.00    0.00    0.00   25.00    0.00    0.00    0.00   38.00
22시 48분 57초    7   13.08    0.00   21.50    0.00    0.00   29.91    0.00    0.00    0.00   35.51
22시 48분 57초    8   13.13    0.00   26.26    0.00    0.00   24.24    0.00    0.00    0.00   36.36
22시 48분 57초    9   10.00    0.00   26.00    0.00    0.00   26.00    0.00    0.00    0.00   38.00

22시 48분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 58초  all   11.50    0.00   25.00    0.00    0.00   23.38    0.00    0.00    0.00   40.11
22시 48분 58초    0    9.52    0.00   21.90    0.00    0.00   27.62    0.00    0.00    0.00   40.95
22시 48분 58초    1   12.38    0.00   24.76    0.00    0.00   23.81    0.00    0.00    0.00   39.05
22시 48분 58초    2   10.58    0.00   24.04    0.00    0.00   24.04    0.00    0.00    0.00   41.35
22시 48분 58초    3   12.62    0.00   25.24    0.00    0.00   21.36    0.00    0.00    0.00   40.78
22시 48분 58초    4   11.43    0.00   26.67    0.00    0.00   21.90    0.00    0.00    0.00   40.00
22시 48분 58초    5   10.38    0.00   26.42    0.00    0.00   24.53    0.00    0.00    0.00   38.68
22시 48분 58초    6   12.62    0.00   21.36    0.00    0.00   25.24    0.00    0.00    0.00   40.78
22시 48분 58초    7   12.15    0.00   26.17    0.00    0.00   21.50    0.00    0.00    0.00   40.19
22시 48분 58초    8   10.09    0.00   24.77    0.00    0.00   24.77    0.00    0.00    0.00   40.37
22시 48분 58초    9   12.38    0.00   28.57    0.00    0.00   19.05    0.00    0.00    0.00   40.00

22시 48분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 48분 59초  all   10.94    0.00   25.63    0.00    0.00   23.95    0.00    0.00    0.00   39.48
22시 48분 59초    0   10.91    0.00   26.36    0.00    0.00   23.64    0.00    0.00    0.00   39.09
22시 48분 59초    1    9.26    0.00   25.93    0.00    0.00   26.85    0.00    0.00    0.00   37.96
22시 48분 59초    2   10.91    0.00   28.18    0.00    0.00   20.91    0.00    0.00    0.00   40.00
22시 48분 59초    3   13.51    0.00   26.13    0.00    0.00   22.52    0.00    0.00    0.00   37.84
22시 48분 59초    4    9.62    0.00   24.04    0.00    0.00   25.96    0.00    0.00    0.00   40.38
22시 48분 59초    5   12.84    0.00   22.02    0.00    0.00   26.61    0.00    0.00    0.00   38.53
22시 48분 59초    6   10.78    0.00   26.47    0.00    0.00   21.57    0.00    0.00    0.00   41.18
22시 48분 59초    7   10.19    0.00   27.78    0.00    0.00   22.22    0.00    0.00    0.00   39.81
22시 48분 59초    8    8.65    0.00   25.96    0.00    0.00   24.04    0.00    0.00    0.00   41.35
22시 48분 59초    9   12.50    0.00   23.08    0.00    0.00   25.00    0.00    0.00    0.00   39.42

22시 48분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22시 49분 00초  all   12.99    0.00   25.37    0.00    0.00   21.98    0.00    0.00    0.00   39.66
22시 49분 00초    0   14.14    0.00   27.27    0.00    0.00   19.19    0.00    0.00    0.00   39.39
22시 49분 00초    1   15.00    0.00   26.00    0.00    0.00   19.00    0.00    0.00    0.00   40.00
22시 49분 00초    2   15.69    0.00   22.55    0.00    0.00   23.53    0.00    0.00    0.00   38.24
22시 49분 00초    3   16.49    0.00   20.62    0.00    0.00   21.65    0.00    0.00    0.00   41.24
22시 49분 00초    4   12.63    0.00   25.26    0.00    0.00   18.95    0.00    0.00    0.00   43.16
22시 49분 00초    5   12.87    0.00   27.72    0.00    0.00   19.80    0.00    0.00    0.00   39.60
22시 49분 00초    6   10.20    0.00   24.49    0.00    0.00   25.51    0.00    0.00    0.00   39.80
22시 49분 00초    7   13.27    0.00   22.45    0.00    0.00   24.49    0.00    0.00    0.00   39.80
