Linux 5.4.0-73-generic (kesServer) 	2021년 05월 28일 	_x86_64_	(10 CPU)

22시 48분 51초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
22시 49분 21초  1000     28309         -  100.00  100.00    0.00    0.00  100.00     5  memaslap
22시 49분 21초  1000         -     28324    7.66   22.84    0.00    4.06   30.50     8  |__memaslap
22시 49분 21초  1000         -     28325    7.13   22.64    0.00    3.83   29.77     7  |__memaslap
22시 49분 21초  1000         -     28326    7.56   22.54    0.00    4.03   30.10     1  |__memaslap
22시 49분 21초  1000         -     28327    7.09   22.64    0.00    3.90   29.74     3  |__memaslap
22시 49분 21초  1000         -     28328    7.09   23.08    0.00    3.63   30.17     4  |__memaslap
22시 49분 21초  1000         -     28329    6.59   23.34    0.00    3.93   29.94     4  |__memaslap
22시 49분 21초  1000         -     28330    7.63   23.51    0.00    4.06   31.14     1  |__memaslap
22시 49분 21초  1000         -     28331    6.86   23.14    0.00    4.13   30.00     7  |__memaslap
22시 49분 21초  1000         -     28332    7.09   23.38    0.00    3.90   30.47     6  |__memaslap
22시 49분 21초  1000         -     28333    7.06   22.78    0.00    3.96   29.84     9  |__memaslap
22시 49분 21초  1000         -     28334    7.26   23.28    0.00    4.13   30.54     0  |__memaslap
22시 49분 21초  1000         -     28335    7.06   23.11    0.00    4.23   30.17     8  |__memaslap
22시 49분 21초  1000         -     28336    6.83   22.88    0.00    3.76   29.70     4  |__memaslap
22시 49분 21초  1000         -     28337    6.66   23.34    0.00    3.86   30.00     6  |__memaslap
22시 49분 21초  1000         -     28338    7.59   23.04    0.00    4.06   30.64     8  |__memaslap
22시 49분 21초  1000         -     28339    6.53   22.94    0.00    3.80   29.47     7  |__memaslap

22시 49분 21초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
22시 49분 51초  1000     28309         -  100.00  100.00    0.00    0.00  100.00     0  memaslap
22시 49분 51초  1000         -     28324    7.47   23.33    0.00    4.00   30.80     4  |__memaslap
22시 49분 51초  1000         -     28325    6.80   22.77    0.00    3.93   29.57     1  |__memaslap
22시 49분 51초  1000         -     28326    7.20   23.57    0.00    4.00   30.77     4  |__memaslap
22시 49분 51초  1000         -     28327    7.20   22.63    0.00    3.93   29.83     7  |__memaslap
22시 49분 51초  1000         -     28328    7.17   23.30    0.00    3.97   30.47     1  |__memaslap
22시 49분 51초  1000         -     28329    7.07   22.17    0.00    3.77   29.23     6  |__memaslap
22시 49분 51초  1000         -     28330    7.43   23.57    0.00    4.17   31.00     9  |__memaslap
22시 49분 51초  1000         -     28331    7.07   23.07    0.00    4.07   30.13     4  |__memaslap
22시 49분 51초  1000         -     28332    7.63   22.77    0.00    3.93   30.40     7  |__memaslap
22시 49분 51초  1000         -     28333    7.90   21.77    0.00    4.00   29.67     9  |__memaslap
22시 49분 51초  1000         -     28334    7.20   23.57    0.00    4.07   30.77     1  |__memaslap
22시 49분 51초  1000         -     28335    7.50   22.27    0.00    4.00   29.77     6  |__memaslap
22시 49분 51초  1000         -     28336    7.63   22.93    0.00    3.97   30.57     1  |__memaslap
22시 49분 51초  1000         -     28337    7.00   23.10    0.00    4.03   30.10     0  |__memaslap
22시 49분 51초  1000         -     28338    7.23   23.40    0.00    4.07   30.63     6  |__memaslap
22시 49분 51초  1000         -     28339    6.97   22.97    0.00    4.07   29.93     8  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000     28309         -  100.00  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -     28324    7.56   23.09    0.00    4.03   30.65     -  |__memaslap
Average:     1000         -     28325    6.96   22.71    0.00    3.88   29.67     -  |__memaslap
Average:     1000         -     28326    7.38   23.06    0.00    4.01   30.43     -  |__memaslap
Average:     1000         -     28327    7.15   22.64    0.00    3.91   29.79     -  |__memaslap
Average:     1000         -     28328    7.13   23.19    0.00    3.80   30.32     -  |__memaslap
Average:     1000         -     28329    6.83   22.76    0.00    3.85   29.59     -  |__memaslap
Average:     1000         -     28330    7.53   23.54    0.00    4.11   31.07     -  |__memaslap
Average:     1000         -     28331    6.96   23.11    0.00    4.10   30.07     -  |__memaslap
Average:     1000         -     28332    7.36   23.07    0.00    3.91   30.43     -  |__memaslap
Average:     1000         -     28333    7.48   22.27    0.00    3.98   29.75     -  |__memaslap
Average:     1000         -     28334    7.23   23.42    0.00    4.10   30.65     -  |__memaslap
Average:     1000         -     28335    7.28   22.69    0.00    4.11   29.97     -  |__memaslap
Average:     1000         -     28336    7.23   22.91    0.00    3.86   30.13     -  |__memaslap
Average:     1000         -     28337    6.83   23.22    0.00    3.95   30.05     -  |__memaslap
Average:     1000         -     28338    7.41   23.22    0.00    4.06   30.63     -  |__memaslap
Average:     1000         -     28339    6.75   22.96    0.00    3.93   29.70     -  |__memaslap
