Linux 5.4.0-73-generic (kesServer) 	2021년 05월 28일 	_x86_64_	(10 CPU)

23시 06분 46초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
23시 07분 16초     0     10893         -   76.93  100.00    0.00    0.00  100.00     0  lt-memaslap
23시 07분 16초     0         -     10912    5.03   20.11    0.00   29.99   25.13     6  |__lt-memaslap
23시 07분 16초     0         -     10913    4.93   20.41    0.00   29.86   25.33     4  |__lt-memaslap
23시 07분 16초     0         -     10914    4.79   20.27    0.00   29.76   25.07     6  |__lt-memaslap
23시 07분 16초     0         -     10915    4.43   20.31    0.00   30.13   24.73     4  |__lt-memaslap
23시 07분 16초     0         -     10916    5.33   20.24    0.00   29.93   25.57     8  |__lt-memaslap
23시 07분 16초     0         -     10917    4.96   19.84    0.00   29.79   24.80     9  |__lt-memaslap
23시 07분 16초     0         -     10918    5.03   20.07    0.00   29.79   25.10     2  |__lt-memaslap
23시 07분 16초     0         -     10919    4.56   20.54    0.00   29.66   25.10     9  |__lt-memaslap
23시 07분 16초     0         -     10920    4.76   20.31    0.00   29.93   25.07     3  |__lt-memaslap
23시 07분 16초     0         -     10921    4.73   20.01    0.00   29.76   24.73     6  |__lt-memaslap
23시 07분 16초     0         -     10922    4.49   20.84    0.00   30.13   25.33     8  |__lt-memaslap
23시 07분 16초     0         -     10923    4.69   20.01    0.00   30.03   24.70     5  |__lt-memaslap
23시 07분 16초     0         -     10924    4.89   20.37    0.00   29.96   25.27     1  |__lt-memaslap
23시 07분 16초     0         -     10925    4.76   19.54    0.00   29.76   24.30     2  |__lt-memaslap
23시 07분 16초     0         -     10926    4.73   20.14    0.00   29.93   24.87     0  |__lt-memaslap
23시 07분 16초     0         -     10927    4.66   20.14    0.00   29.93   24.80     9  |__lt-memaslap

23시 07분 16초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
23시 07분 46초     0     10893         -   72.27  100.00    0.00    0.00  100.00     3  lt-memaslap
23시 07분 46초     0         -     10912    4.50   20.60    0.00   26.23   25.10     0  |__lt-memaslap
23시 07분 46초     0         -     10913    4.00   20.57    0.00   26.10   24.57     6  |__lt-memaslap
23시 07분 46초     0         -     10914    4.83   20.37    0.00   26.20   25.20     2  |__lt-memaslap
23시 07분 46초     0         -     10915    4.47   20.37    0.00   26.07   24.83     6  |__lt-memaslap
23시 07분 46초     0         -     10916    4.50   20.70    0.00   26.03   25.20     9  |__lt-memaslap
23시 07분 46초     0         -     10917    4.53   20.23    0.00   26.10   24.77     4  |__lt-memaslap
23시 07분 46초     0         -     10918    4.67   20.63    0.00   26.20   25.30     2  |__lt-memaslap
23시 07분 46초     0         -     10919    4.93   20.10    0.00   26.10   25.03     3  |__lt-memaslap
23시 07분 46초     0         -     10920    4.53   20.60    0.00   26.30   25.13     0  |__lt-memaslap
23시 07분 46초     0         -     10921    4.73   20.13    0.00   26.03   24.87     1  |__lt-memaslap
23시 07분 46초     0         -     10922    4.70   20.73    0.00   26.27   25.43     4  |__lt-memaslap
23시 07분 46초     0         -     10923    4.57   20.23    0.00   26.03   24.80     0  |__lt-memaslap
23시 07분 46초     0         -     10924    4.33   21.03    0.00   26.13   25.37     1  |__lt-memaslap
23시 07분 46초     0         -     10925    4.33   20.03    0.00   26.13   24.37     6  |__lt-memaslap
23시 07분 46초     0         -     10926    4.40   20.83    0.00   26.30   25.23     5  |__lt-memaslap
23시 07분 46초     0         -     10927    4.30   20.43    0.00   26.13   24.73     8  |__lt-memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     10893         -   74.60  100.00    0.00    0.00  100.00     -  lt-memaslap
Average:        0         -     10912    4.76   20.35    0.00   28.11   25.12     -  |__lt-memaslap
Average:        0         -     10913    4.46   20.49    0.00   27.98   24.95     -  |__lt-memaslap
Average:        0         -     10914    4.81   20.32    0.00   27.98   25.13     -  |__lt-memaslap
Average:        0         -     10915    4.45   20.34    0.00   28.10   24.78     -  |__lt-memaslap
Average:        0         -     10916    4.91   20.47    0.00   27.98   25.38     -  |__lt-memaslap
Average:        0         -     10917    4.75   20.04    0.00   27.95   24.78     -  |__lt-memaslap
Average:        0         -     10918    4.85   20.35    0.00   28.00   25.20     -  |__lt-memaslap
Average:        0         -     10919    4.75   20.32    0.00   27.88   25.07     -  |__lt-memaslap
Average:        0         -     10920    4.65   20.45    0.00   28.11   25.10     -  |__lt-memaslap
Average:        0         -     10921    4.73   20.07    0.00   27.90   24.80     -  |__lt-memaslap
Average:        0         -     10922    4.60   20.79    0.00   28.20   25.38     -  |__lt-memaslap
Average:        0         -     10923    4.63   20.12    0.00   28.03   24.75     -  |__lt-memaslap
Average:        0         -     10924    4.61   20.70    0.00   28.05   25.32     -  |__lt-memaslap
Average:        0         -     10925    4.55   19.79    0.00   27.95   24.33     -  |__lt-memaslap
Average:        0         -     10926    4.56   20.49    0.00   28.11   25.05     -  |__lt-memaslap
Average:        0         -     10927    4.48   20.29    0.00   28.03   24.77     -  |__lt-memaslap
