Linux 5.4.0-77-generic (kesServer) 	2021년 07월 05일 	_x86_64_	(10 CPU)

15시 28분 56초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 28분 57초  all   14.40    0.00   27.98    0.00    0.00   13.78    0.00    0.00    0.00   43.83
15시 28분 57초    0   12.50    0.00   28.85    0.00    0.00   17.31    0.00    0.00    0.00   41.35
15시 28분 57초    1   18.09    0.00   29.79    0.00    0.00   15.96    0.00    0.00    0.00   36.17
15시 28분 57초    2   13.13    0.00   30.30    0.00    0.00    0.00    0.00    0.00    0.00   56.57
15시 28분 57초    3   12.90    0.00   25.81    0.00    0.00   11.83    0.00    0.00    0.00   49.46
15시 28분 57초    4   12.09    0.00   27.47    0.00    0.00    9.89    0.00    0.00    0.00   50.55
15시 28분 57초    5   15.62    0.00   34.38    0.00    0.00   12.50    0.00    0.00    0.00   37.50
15시 28분 57초    6   16.84    0.00   26.32    0.00    0.00   11.58    0.00    0.00    0.00   45.26
15시 28분 57초    7   12.87    0.00   25.74    0.00    0.00   26.73    0.00    0.00    0.00   34.65
15시 28분 57초    8   14.13    0.00   25.00    0.00    0.00   14.13    0.00    0.00    0.00   46.74
15시 28분 57초    9   15.84    0.00   25.74    0.00    0.00   16.83    0.00    0.00    0.00   41.58

15시 28분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 28분 58초  all    9.01    0.00   26.05    0.00    0.00   19.10    0.00    0.00    0.00   45.84
15시 28분 58초    0    9.80    0.00   27.45    0.00    0.00   18.63    0.00    0.00    0.00   44.12
15시 28분 58초    1    9.80    0.00   27.45    0.00    0.00   18.63    0.00    0.00    0.00   44.12
15시 28분 58초    2   11.34    0.00   23.71    0.00    0.00    0.00    0.00    0.00    0.00   64.95
15시 28분 58초    3    8.41    0.00   25.23    0.00    0.00   21.50    0.00    0.00    0.00   44.86
15시 28분 58초    4    6.73    0.00   27.88    0.00    0.00   18.27    0.00    0.00    0.00   47.12
15시 28분 58초    5    5.94    0.00   27.72    0.00    0.00   19.80    0.00    0.00    0.00   46.53
15시 28분 58초    6   10.10    0.00   24.24    0.00    0.00   19.19    0.00    0.00    0.00   46.46
15시 28분 58초    7    9.62    0.00   18.27    0.00    0.00   37.50    0.00    0.00    0.00   34.62
15시 28분 58초    8    8.08    0.00   30.30    0.00    0.00   15.15    0.00    0.00    0.00   46.46
15시 28분 58초    9   11.32    0.00   28.30    0.00    0.00   18.87    0.00    0.00    0.00   41.51

15시 28분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 28분 59초  all   11.30    0.00   25.97    0.00    0.00   19.35    0.00    0.00    0.00   43.38
15시 28분 59초    0    9.57    0.00   25.53    0.00    0.00   21.28    0.00    0.00    0.00   43.62
15시 28분 59초    1   11.76    0.00   29.41    0.00    0.00   19.61    0.00    0.00    0.00   39.22
15시 28분 59초    2   11.65    0.00   30.10    0.00    0.00    0.00    0.00    0.00    0.00   58.25
15시 28분 59초    3   10.42    0.00   23.96    0.00    0.00   17.71    0.00    0.00    0.00   47.92
15시 28분 59초    4   12.00    0.00   22.00    0.00    0.00   20.00    0.00    0.00    0.00   46.00
15시 28분 59초    5   13.13    0.00   24.24    0.00    0.00   19.19    0.00    0.00    0.00   43.43
15시 28분 59초    6    9.57    0.00   22.34    0.00    0.00   23.40    0.00    0.00    0.00   44.68
15시 28분 59초    7   10.31    0.00   24.74    0.00    0.00   34.02    0.00    0.00    0.00   30.93
15시 28분 59초    8   10.20    0.00   28.57    0.00    0.00   19.39    0.00    0.00    0.00   41.84
15시 28분 59초    9   12.00    0.00   27.00    0.00    0.00   22.00    0.00    0.00    0.00   39.00

15시 28분 59초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 29분 00초  all   11.51    0.00   25.55    0.00    0.00   17.85    0.00    0.00    0.00   45.09
15시 29분 00초    0    9.57    0.00   27.66    0.00    0.00   19.15    0.00    0.00    0.00   43.62
15시 29분 00초    1    9.09    0.00   26.14    0.00    0.00   18.18    0.00    0.00    0.00   46.59
15시 29분 00초    2   12.50    0.00   26.04    0.00    0.00    0.00    0.00    0.00    0.00   61.46
15시 29분 00초    3    8.33    0.00   26.04    0.00    0.00   19.79    0.00    0.00    0.00   45.83
