Linux 5.4.0-77-generic (kesServer) 	2021년 07월 05일 	_x86_64_	(10 CPU)

15시 28분 56초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
15시 29분 26초  1000      4265         -  100.00  100.00    0.00    0.00  100.00     7  memaslap
15시 29분 26초  1000         -      4280    6.43   22.18    0.00    1.60   28.60     5  |__memaslap
15시 29분 26초  1000         -      4281    6.86   22.54    0.00    1.73   29.40     0  |__memaslap
15시 29분 26초  1000         -      4282    6.93   21.51    0.00    1.76   28.44     5  |__memaslap
15시 29분 26초  1000         -      4283    7.49   23.08    0.00    1.70   30.57     2  |__memaslap
15시 29분 26초  1000         -      4284    6.86   22.24    0.00    1.76   29.10     7  |__memaslap
15시 29분 26초  1000         -      4285    7.73   22.21    0.00    1.76   29.94     7  |__memaslap
15시 29분 26초  1000         -      4286    7.09   22.04    0.00    1.83   29.14     5  |__memaslap
15시 29분 26초  1000         -      4287    7.13   23.01    0.00    1.76   30.14     4  |__memaslap
15시 29분 26초  1000         -      4288    6.46   22.81    0.00    1.57   29.27     0  |__memaslap
15시 29분 26초  1000         -      4289    7.06   22.78    0.00    1.76   29.84     8  |__memaslap
15시 29분 26초  1000         -      4290    7.06   22.51    0.00    1.73   29.57     5  |__memaslap
15시 29분 26초  1000         -      4291    6.83   23.81    0.00    1.83   30.64     1  |__memaslap
15시 29분 26초  1000         -      4292    6.83   22.38    0.00    1.73   29.20     4  |__memaslap
15시 29분 26초  1000         -      4293    7.09   22.68    0.00    1.80   29.77     6  |__memaslap
15시 29분 26초  1000         -      4294    7.19   22.28    0.00    1.86   29.47     3  |__memaslap
15시 29분 26초  1000         -      4295    7.06   22.04    0.00    1.67   29.10     1  |__memaslap

15시 29분 26초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
15시 29분 56초  1000      4265         -  100.00  100.00    0.00    0.00  100.00     1  memaslap
15시 29분 56초  1000         -      4280    6.90   22.97    0.00    1.70   29.87     9  |__memaslap
15시 29분 56초  1000         -      4281    7.37   23.63    0.00    1.80   31.00     5  |__memaslap
15시 29분 56초  1000         -      4282    7.17   23.07    0.00    1.77   30.23     3  |__memaslap
15시 29분 56초  1000         -      4283    7.20   23.53    0.00    1.70   30.73     4  |__memaslap
15시 29분 56초  1000         -      4284    7.50   22.63    0.00    1.67   30.13     2  |__memaslap
15시 29분 56초  1000         -      4285    7.53   22.80    0.00    1.67   30.33     2  |__memaslap
15시 29분 56초  1000         -      4286    7.17   22.47    0.00    1.67   29.63     1  |__memaslap
15시 29분 56초  1000         -      4287    7.67   23.40    0.00    1.73   31.07     7  |__memaslap
15시 29분 56초  1000         -      4288    7.03   22.67    0.00    1.77   29.70     2  |__memaslap
15시 29분 56초  1000         -      4289    7.37   23.43    0.00    1.70   30.80     5  |__memaslap
15시 29분 56초  1000         -      4290    6.77   23.90    0.00    1.80   30.67     8  |__memaslap
15시 29분 56초  1000         -      4291    7.17   22.73    0.00    1.57   29.90     8  |__memaslap
15시 29분 56초  1000         -      4292    7.33   22.87    0.00    1.77   30.20     7  |__memaslap
15시 29분 56초  1000         -      4293    7.53   23.73    0.00    1.80   31.27     5  |__memaslap
15시 29분 56초  1000         -      4294    7.60   22.73    0.00    1.63   30.33     9  |__memaslap
15시 29분 56초  1000         -      4295    7.93   23.03    0.00    1.60   30.97     7  |__memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:     1000      4265         -  100.00  100.00    0.00    0.00  100.00     -  memaslap
Average:     1000         -      4280    6.66   22.57    0.00    1.65   29.24     -  |__memaslap
Average:     1000         -      4281    7.11   23.09    0.00    1.77   30.20     -  |__memaslap
Average:     1000         -      4282    7.05   22.29    0.00    1.77   29.34     -  |__memaslap
Average:     1000         -      4283    7.35   23.31    0.00    1.70   30.65     -  |__memaslap
Average:     1000         -      4284    7.18   22.44    0.00    1.72   29.62     -  |__memaslap
Average:     1000         -      4285    7.63   22.51    0.00    1.72   30.13     -  |__memaslap
Average:     1000         -      4286    7.13   22.26    0.00    1.75   29.39     -  |__memaslap
Average:     1000         -      4287    7.40   23.21    0.00    1.75   30.60     -  |__memaslap
Average:     1000         -      4288    6.75   22.74    0.00    1.67   29.49     -  |__memaslap
Average:     1000         -      4289    7.21   23.11    0.00    1.73   30.32     -  |__memaslap
Average:     1000         -      4290    6.91   23.21    0.00    1.77   30.12     -  |__memaslap
Average:     1000         -      4291    7.00   23.27    0.00    1.70   30.27     -  |__memaslap
Average:     1000         -      4292    7.08   22.62    0.00    1.75   29.70     -  |__memaslap
Average:     1000         -      4293    7.31   23.21    0.00    1.80   30.52     -  |__memaslap
Average:     1000         -      4294    7.40   22.51    0.00    1.75   29.90     -  |__memaslap
Average:     1000         -      4295    7.50   22.54    0.00    1.63   30.03     -  |__memaslap
