Linux 5.4.0-77-generic (server3) 	2021년 07월 05일 	_x86_64_	(10 CPU)

15시 28분 57초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 28분 58초  all   15.49    0.00   19.60    0.00    0.00   19.39    0.00    0.00    0.00   45.52
15시 28분 58초    0    3.96    0.00    0.99    0.00    0.00    4.95    0.00    0.00    0.00   90.10
15시 28분 58초    1   17.58    0.00   16.48    0.00    0.00   24.18    0.00    0.00    0.00   41.76
15시 28분 58초    2   15.05    0.00   19.35    0.00    0.00   30.11    0.00    0.00    0.00   35.48
15시 28분 58초    3   29.00    0.00   40.00    0.00    0.00   23.00    0.00    0.00    0.00    8.00
15시 28분 58초    4    4.04    0.00    5.05    0.00    0.00    3.03    0.00    0.00    0.00   87.88
15시 28분 58초    5   16.67    0.00   29.49    0.00    0.00   14.10    0.00    0.00    0.00   39.74
15시 28분 58초    6   27.17    0.00   30.43    0.00    0.00   30.43    0.00    0.00    0.00   11.96
15시 28분 58초    7   28.28    0.00   37.37    0.00    0.00   33.33    0.00    0.00    0.00    1.01
15시 28분 58초    8    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
15시 28분 58초    9   11.83    0.00   13.98    0.00    0.00   32.26    0.00    0.00    0.00   41.94

15시 28분 58초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15시 28분 59초  all   12.44    0.00   14.34    0.00    0.00   30.86    0.00    0.00    0.00   42.36
15시 28분 59초    0   14.42    0.00   15.38    0.00    0.00   17.31    0.00    0.00    0.00   52.88
15시 28분 59초    1   19.42    0.00   20.39    0.00    0.00   29.13    0.00    0.00    0.00   31.07
15시 28분 59초    2    6.25    0.00   11.46    0.00    0.00   29.17    0.00    0.00    0.00   53.12
15시 28분 59초    3   29.29    0.00   38.38    0.00    0.00   32.32    0.00    0.00    0.00    0.00
15시 28분 59초    4    2.65    0.00    1.77    0.00    0.00   30.09    0.00    0.00    0.00   65.49
15시 28분 59초    5    0.00    0.00    0.00    0.00    0.00   63.89    0.00    0.00    0.00   36.11
15시 28분 59초    6   15.60    0.00   16.51    0.00    0.00   46.79    0.00    0.00    0.00   21.10
15시 28분 59초    7   35.35    0.00   40.40    0.00    0.00   24.24    0.00    0.00    0.00    0.00
15시 28분 59초    8    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
15시 28분 59초    9    4.71    0.00    3.53    0.00    0.00   18.82    0.00    0.00    0.00   72.94
