Linux 5.4.0-77-generic (kesServer) 	2021년 07월 02일 	_x86_64_	(10 CPU)

17시 37분 18초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 19초  all   26.86    0.00   28.79    0.00    0.00    0.51    0.00    0.00    0.00   43.85
17시 37분 19초    0   17.17    0.00   33.33    0.00    0.00    1.01    0.00    0.00    0.00   48.48
17시 37분 19초    1   19.39    0.00   28.57    0.00    0.00    0.00    0.00    0.00    0.00   52.04
17시 37분 19초    2   21.88    0.00   27.08    0.00    0.00    0.00    0.00    0.00    0.00   51.04
17시 37분 19초    3   46.46    0.00   20.20    0.00    0.00    0.00    0.00    0.00    0.00   33.33
17시 37분 19초    4   15.31    0.00   30.61    0.00    0.00    2.04    0.00    0.00    0.00   52.04
17시 37분 19초    5   20.20    0.00   37.37    0.00    0.00    0.00    0.00    0.00    0.00   42.42
17시 37분 19초    6   16.16    0.00   32.32    0.00    0.00    1.01    0.00    0.00    0.00   50.51
17시 37분 19초    7   66.33    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   17.35
17시 37분 19초    8   26.80    0.00   28.87    0.00    0.00    1.03    0.00    0.00    0.00   43.30
17시 37분 19초    9   19.00    0.00   33.00    0.00    0.00    0.00    0.00    0.00    0.00   48.00

17시 37분 19초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 20초  all   22.39    0.00   22.58    0.00    0.00   13.71    0.00    0.00    0.00   41.32
17시 37분 20초    0   33.01    0.00   23.30    0.00    0.00    4.85    0.00    0.00    0.00   38.83
17시 37분 20초    1   17.82    0.00   22.77    0.00    0.00   10.89    0.00    0.00    0.00   48.51
17시 37분 20초    2   15.84    0.00   23.76    0.00    0.00    9.90    0.00    0.00    0.00   50.50
17시 37분 20초    3   21.57    0.00   26.47    0.00    0.00    4.90    0.00    0.00    0.00   47.06
17시 37분 20초    4    9.09    0.00   10.10    0.00    0.00   59.60    0.00    0.00    0.00   21.21
17시 37분 20초    5   15.84    0.00   23.76    0.00    0.00    8.91    0.00    0.00    0.00   51.49
17시 37분 20초    6   11.88    0.00   25.74    0.00    0.00   10.89    0.00    0.00    0.00   51.49
17시 37분 20초    7   35.24    0.00   21.90    0.00    0.00    9.52    0.00    0.00    0.00   33.33
17시 37분 20초    8   25.49    0.00   25.49    0.00    0.00    9.80    0.00    0.00    0.00   39.22
17시 37분 20초    9   38.61    0.00   20.79    0.00    0.00    7.92    0.00    0.00    0.00   32.67

17시 37분 20초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 21초  all   19.07    0.00   19.38    0.00    0.00   23.61    0.00    0.00    0.00   37.94
17시 37분 21초    0   13.40    0.00   23.71    0.00    0.00   15.46    0.00    0.00    0.00   47.42
17시 37분 21초    1   26.80    0.00   23.71    0.00    0.00    9.28    0.00    0.00    0.00   40.21
17시 37분 21초    2   27.88    0.00   19.23    0.00    0.00   15.38    0.00    0.00    0.00   37.50
17시 37분 21초    3   16.67    0.00   21.88    0.00    0.00   15.62    0.00    0.00    0.00   45.83
17시 37분 21초    4    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
17시 37분 21초    5   29.79    0.00   19.15    0.00    0.00   10.64    0.00    0.00    0.00   40.43
17시 37분 21초    6   29.79    0.00   14.89    0.00    0.00   15.96    0.00    0.00    0.00   39.36
17시 37분 21초    7   22.68    0.00   21.65    0.00    0.00   15.46    0.00    0.00    0.00   40.21
17시 37분 21초    8   13.54    0.00   26.04    0.00    0.00   14.58    0.00    0.00    0.00   45.83
17시 37분 21초    9   10.42    0.00   23.96    0.00    0.00   22.92    0.00    0.00    0.00   42.71

17시 37분 21초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 22초  all   20.02    0.00   21.53    0.00    0.00   22.54    0.00    0.00    0.00   35.92
17시 37분 22초    0   21.43    0.00   24.49    0.00    0.00   10.20    0.00    0.00    0.00   43.88
17시 37분 22초    1   19.61    0.00   24.51    0.00    0.00   13.73    0.00    0.00    0.00   42.16
17시 37분 22초    2   18.81    0.00   25.74    0.00    0.00   13.86    0.00    0.00    0.00   41.58
17시 37분 22초    3   16.33    0.00   29.59    0.00    0.00   10.20    0.00    0.00    0.00   43.88
17시 37분 22초    4    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
17시 37분 22초    5   20.59    0.00   23.53    0.00    0.00   12.75    0.00    0.00    0.00   43.14
17시 37분 22초    6   20.20    0.00   22.22    0.00    0.00   17.17    0.00    0.00    0.00   40.40
17시 37분 22초    7   19.79    0.00   26.04    0.00    0.00   15.62    0.00    0.00    0.00   38.54
17시 37분 22초    8   48.98    0.00   14.29    0.00    0.00   12.24    0.00    0.00    0.00   24.49
17시 37분 22초    9   14.43    0.00   26.80    0.00    0.00   17.53    0.00    0.00    0.00   41.24

17시 37분 22초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 23초  all   17.79    0.00   20.48    0.10    0.00   23.37    0.00    0.00    0.00   38.26
17시 37분 23초    0   14.74    0.00   24.21    0.00    0.00   12.63    0.00    0.00    0.00   48.42
17시 37분 23초    1   24.00    0.00   20.00    1.00    0.00   14.00    0.00    0.00    0.00   41.00
17시 37분 23초    2    9.78    0.00   26.09    1.09    0.00   14.13    0.00    0.00    0.00   48.91
17시 37분 23초    3   13.54    0.00   25.00    0.00    0.00   14.58    0.00    0.00    0.00   46.88
17시 37분 23초    4    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
17시 37분 23초    5   13.68    0.00   26.32    0.00    0.00   12.63    0.00    0.00    0.00   47.37
17시 37분 23초    6   10.42    0.00   23.96    0.00    0.00   17.71    0.00    0.00    0.00   47.92
17시 37분 23초    7   11.46    0.00   23.96    0.00    0.00   18.75    0.00    0.00    0.00   45.83
17시 37분 23초    8   17.00    0.00   24.00    0.00    0.00   15.00    0.00    0.00    0.00   44.00
17시 37분 23초    9   62.89    0.00   12.37    0.00    0.00   11.34    0.00    0.00    0.00   13.40

17시 37분 23초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 24초  all   18.85    0.00   19.96    0.00    0.00   23.69    0.00    0.00    0.00   37.50
17시 37분 24초    0   14.85    0.00   25.74    0.00    0.00   13.86    0.00    0.00    0.00   45.54
17시 37분 24초    1   25.51    0.00   20.41    0.00    0.00   13.27    0.00    0.00    0.00   40.82
17시 37분 24초    2   28.00    0.00   21.00    0.00    0.00   15.00    0.00    0.00    0.00   36.00
17시 37분 24초    3   21.88    0.00   22.92    0.00    0.00   10.42    0.00    0.00    0.00   44.79
17시 37분 24초    4    0.00    0.00    0.00    0.00    0.00   99.00    0.00    0.00    0.00    1.00
17시 37분 24초    5   20.20    0.00   23.23    0.00    0.00   11.11    0.00    0.00    0.00   45.45
17시 37분 24초    6   13.40    0.00   22.68    0.00    0.00   17.53    0.00    0.00    0.00   46.39
17시 37분 24초    7   12.00    0.00   22.00    0.00    0.00   21.00    0.00    0.00    0.00   45.00
17시 37분 24초    8   19.61    0.00   22.55    0.00    0.00   17.65    0.00    0.00    0.00   40.20
17시 37분 24초    9   34.34    0.00   17.17    0.00    0.00   16.16    0.00    0.00    0.00   32.32

17시 37분 24초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 25초  all   19.50    0.00   18.15    0.00    0.00   24.17    0.00    0.00    0.00   38.17
