Linux 5.4.0-77-generic (kesServer) 	2021년 07월 02일 	_x86_64_	(10 CPU)

17시 37분 18초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
17시 37분 48초     0     20063         -   80.07  100.00    0.00    0.17  100.00     7  lt-memaslap
17시 37분 48초     0         -     20082    4.69   20.07    0.00    6.69   24.76     9  |__lt-memaslap
17시 37분 48초     0         -     20083    5.39   19.33    0.00    6.89   24.73     3  |__lt-memaslap
17시 37분 48초     0         -     20084    5.09   19.53    0.00    6.66   24.63     7  |__lt-memaslap
17시 37분 48초     0         -     20085    4.69   19.87    0.00    6.76   24.56     7  |__lt-memaslap
17시 37분 48초     0         -     20086    5.02   19.57    0.00    6.69   24.59     1  |__lt-memaslap
17시 37분 48초     0         -     20087    5.22   19.43    0.00    6.59   24.66     9  |__lt-memaslap
17시 37분 48초     0         -     20088    4.76   19.70    0.00    6.99   24.46     6  |__lt-memaslap
17시 37분 48초     0         -     20089    5.26   19.53    0.00    6.89   24.79     9  |__lt-memaslap
17시 37분 48초     0         -     20090    5.16   19.50    0.00    6.76   24.66     5  |__lt-memaslap
17시 37분 48초     0         -     20091    4.93   19.67    0.00    6.86   24.59     7  |__lt-memaslap
17시 37분 48초     0         -     20092    5.19   19.93    0.00    6.66   25.12     7  |__lt-memaslap
17시 37분 48초     0         -     20093    4.99   19.80    0.00    6.62   24.79     8  |__lt-memaslap
17시 37분 48초     0         -     20094    5.29   19.37    0.00    6.92   24.66     5  |__lt-memaslap
17시 37분 48초     0         -     20095    5.32   19.20    0.00    6.56   24.53     8  |__lt-memaslap
17시 37분 48초     0         -     20096    4.46   20.37    0.00    6.89   24.83     5  |__lt-memaslap
17시 37분 48초     0         -     20097    4.59   20.07    0.00    6.72   24.66     7  |__lt-memaslap

17시 37분 48초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
17시 38분 18초     0     20063         -   82.40  100.00    0.00    0.03  100.00     9  lt-memaslap
17시 38분 18초     0         -     20082    5.47   19.50    0.00    4.73   24.97     8  |__lt-memaslap
17시 38분 18초     0         -     20083    5.33   19.50    0.00    4.83   24.83     5  |__lt-memaslap
17시 38분 18초     0         -     20084    5.00   20.00    0.00    4.63   25.00     5  |__lt-memaslap
17시 38분 18초     0         -     20085    4.83   20.10    0.00    4.93   24.93     1  |__lt-memaslap
17시 38분 18초     0         -     20086    4.90   19.83    0.00    4.73   24.73     3  |__lt-memaslap
17시 38분 18초     0         -     20087    4.93   20.00    0.00    4.87   24.93     9  |__lt-memaslap
17시 38분 18초     0         -     20088    5.20   19.50    0.00    4.90   24.70     9  |__lt-memaslap
17시 38분 18초     0         -     20089    5.20   19.87    0.00    4.60   25.07     1  |__lt-memaslap
17시 38분 18초     0         -     20090    5.57   19.33    0.00    4.63   24.90     6  |__lt-memaslap
17시 38분 18초     0         -     20091    5.57   19.33    0.00    4.77   24.90     9  |__lt-memaslap
17시 38분 18초     0         -     20092    5.03   19.87    0.00    4.93   24.90     2  |__lt-memaslap
17시 38분 18초     0         -     20093    5.20   19.83    0.00    4.87   25.03     5  |__lt-memaslap
17시 38분 18초     0         -     20094    4.83   20.07    0.00    4.97   24.90     8  |__lt-memaslap
17시 38분 18초     0         -     20095    5.10   19.80    0.00    4.87   24.90     1  |__lt-memaslap
17시 38분 18초     0         -     20096    5.70   19.13    0.00    4.80   24.83     6  |__lt-memaslap
17시 38분 18초     0         -     20097    4.57   20.40    0.00    4.87   24.97     9  |__lt-memaslap

Average:      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
Average:        0     20063         -   81.23  100.00    0.00    0.10  100.00     -  lt-memaslap
Average:        0         -     20082    5.08   19.78    0.00    5.71   24.86     -  |__lt-memaslap
Average:        0         -     20083    5.36   19.42    0.00    5.86   24.78     -  |__lt-memaslap
Average:        0         -     20084    5.05   19.77    0.00    5.65   24.81     -  |__lt-memaslap
Average:        0         -     20085    4.76   19.98    0.00    5.85   24.75     -  |__lt-memaslap
Average:        0         -     20086    4.96   19.70    0.00    5.71   24.66     -  |__lt-memaslap
Average:        0         -     20087    5.08   19.72    0.00    5.73   24.80     -  |__lt-memaslap
Average:        0         -     20088    4.98   19.60    0.00    5.95   24.58     -  |__lt-memaslap
Average:        0         -     20089    5.23   19.70    0.00    5.75   24.93     -  |__lt-memaslap
Average:        0         -     20090    5.36   19.42    0.00    5.70   24.78     -  |__lt-memaslap
Average:        0         -     20091    5.25   19.50    0.00    5.81   24.75     -  |__lt-memaslap
Average:        0         -     20092    5.11   19.90    0.00    5.80   25.01     -  |__lt-memaslap
Average:        0         -     20093    5.10   19.82    0.00    5.75   24.91     -  |__lt-memaslap
Average:        0         -     20094    5.06   19.72    0.00    5.95   24.78     -  |__lt-memaslap
Average:        0         -     20095    5.21   19.50    0.00    5.71   24.71     -  |__lt-memaslap
Average:        0         -     20096    5.08   19.75    0.00    5.85   24.83     -  |__lt-memaslap
Average:        0         -     20097    4.58   20.23    0.00    5.80   24.81     -  |__lt-memaslap
