Linux 5.4.0-77-generic (server3) 	2021년 07월 02일 	_x86_64_	(10 CPU)

17시 37분 19초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 20초  all    8.74    0.00   11.59    0.00    0.00   10.77    0.00    0.00    0.00   68.90
17시 37분 20초    0    5.00    0.00    5.00    0.00    0.00    3.00    0.00    0.00    0.00   87.00
17시 37분 20초    1    2.97    0.00    2.97    0.00    0.00    4.95    0.00    0.00    0.00   89.11
17시 37분 20초    2   13.40    0.00   17.53    0.00    0.00   11.34    0.00    0.00    0.00   57.73
17시 37분 20초    3    6.06    0.00    3.03    0.00    0.00   50.51    0.00    0.00    0.00   40.40
17시 37분 20초    4   15.46    0.00   22.68    0.00    0.00    7.22    0.00    0.00    0.00   54.64
17시 37분 20초    5    4.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
17시 37분 20초    6   14.29    0.00   25.51    0.00    0.00    5.10    0.00    0.00    0.00   55.10
17시 37분 20초    7    8.91    0.00   11.88    0.00    0.00   10.89    0.00    0.00    0.00   68.32
17시 37분 20초    8    4.95    0.00    3.96    0.00    0.00    1.98    0.00    0.00    0.00   89.11
17시 37분 20초    9   11.58    0.00   20.00    0.00    0.00   13.68    0.00    0.00    0.00   54.74

17시 37분 20초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 21초  all   10.65    0.00   13.59    0.00    0.00   18.86    0.00    0.00    0.00   56.90
17시 37분 21초    0    0.99    0.00    4.95    0.00    0.00    2.97    0.00    0.00    0.00   91.09
17시 37분 21초    1    2.00    0.00    2.00    0.00    0.00    3.00    0.00    0.00    0.00   93.00
17시 37분 21초    2    6.12    0.00    3.06    0.00    0.00    3.06    0.00    0.00    0.00   87.76
17시 37분 21초    3    0.00    0.00    0.00    0.00    0.00   87.76    0.00    0.00    0.00   12.24
17시 37분 21초    4   19.19    0.00   30.30    0.00    0.00   18.18    0.00    0.00    0.00   32.32
17시 37분 21초    5   31.00    0.00   28.00    0.00    0.00   16.00    0.00    0.00    0.00   25.00
17시 37분 21초    6    3.03    0.00    7.07    0.00    0.00    3.03    0.00    0.00    0.00   86.87
17시 37분 21초    7   21.51    0.00   30.11    0.00    0.00   26.88    0.00    0.00    0.00   21.51
17시 37분 21초    8    1.02    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   95.92
17시 37분 21초    9   21.43    0.00   28.57    0.00    0.00   28.57    0.00    0.00    0.00   21.43

17시 37분 21초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 22초  all   11.49    0.00   13.79    0.00    0.00   18.48    0.00    0.00    0.00   56.24
17시 37분 22초    0    1.94    0.00    1.94    0.00    0.00    4.85    0.00    0.00    0.00   91.26
17시 37분 22초    1    2.91    0.00    2.91    0.00    0.00    8.74    0.00    0.00    0.00   85.44
17시 37분 22초    2   25.24    0.00   29.13    0.00    0.00   19.42    0.00    0.00    0.00   26.21
17시 37분 22초    3    0.00    0.00    0.00    0.00    0.00   84.69    0.00    0.00    0.00   15.31
17시 37분 22초    4   25.51    0.00   29.59    0.00    0.00   16.33    0.00    0.00    0.00   28.57
17시 37분 22초    5    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
17시 37분 22초    6    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
17시 37분 22초    7   25.74    0.00   31.68    0.00    0.00   28.71    0.00    0.00    0.00   13.86
17시 37분 22초    8    1.98    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   93.07
17시 37분 22초    9   28.87    0.00   34.02    0.00    0.00   21.65    0.00    0.00    0.00   15.46

17시 37분 22초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 37분 23초  all   10.52    0.00   15.34    0.00    0.00   18.58    0.00    0.00    0.00   55.56
